,City,Total_Days,Poor_Days,AQI_Median,Zone,Total_Days10,Poor_Days10,AQI_Median10,scale,pdayrate
0,Seattle,306,14,42.0,west,365,3,41,0.8383561643835616,16
1,San Francisco,314,22,45.0,west,365,14,48,0.8602739726027397,25
2,Los Angeles,275,119,81.0,west,365,115,77,0.7534246575342466,157
3,Denver,366,34,58.0,mountain,365,38,61,1.0027397260273974,33
4,Salt Lake City,366,21,50.0,mountain,365,24,51,1.0027397260273974,20
5,Phoenix,366,70,75.0,mountain,365,59,74,1.0027397260273974,69
6,Chicago,366,28,56.0,central,365,43,71,1.0027397260273974,27
7,St. Louis,366,10,52.0,central,365,103,74,1.0027397260273974,9
8,Dallas,306,24,49.0,central,365,28,52,0.8383561643835616,28
9,Boston,306,0,42.0,east,365,10,47,0.8383561643835616,0
10,Washington D.C,366,3,42.0,east,365,50,55,1.0027397260273974,2
11,Miami,275,2,42.0,east,365,6,48,0.7534246575342466,2
12,Springfield,366,0,40.0,east,365,12,43,1.0027397260273974,0
13,Providence,366,4,42.5,east,365,20,44,1.0027397260273974,3
14,Appleton,366,5,37.0,central,261,4,38,1.0027397260273974,4
15,Racine,199,8,38.0,central,192,6,42,0.5452054794520548,14
16,Boulder,366,21,47.0,mountain,365,12,45,1.0027397260273974,20
17,Fort Collins,366,18,48.0,mountain,365,21,51,1.0027397260273974,17
18,Aberdeen,366,7,20.0,west,365,0,16,1.0027397260273974,6
19,Bellingham,366,15,31.0,west,355,0,27,1.0027397260273974,14
